兴趣小队项目开发日志（UTF-8）
仓库：https://github.com/OldGuestInBreeze/-1
范围：2026-09-08 14:49:38 至 2026-09-17 23:31:38，北京时间 UTC+8
总计：52 条提交；合并 2 条；默认分支 26 条；其他分支独有 26 条
采集：2026-09-17 23:52:39（UTC+8）
口径：时间为 Git CommitDate，不是实际上传时间；变更摘要不代表测试或验收通过。
文件状态：A 新增；M 修改；D 删除；R 重命名。合并记录不重复展开文件变更。

========================================================================
2026-09-08 | 工程初始化与账号基础 | 11 条
从模块权限开始搭建 HarmonyOS 客户端，完成登录界面、主导航、通用网络与提示工具、认证接口及注册流程的提交；期间合并 PR #1。

[2026-09-08 14:49:38 +08:00] 配置应用模块与权限
提交：049c2a73dafc893fe41be5bb8759fe8cbe188149
原始标题：Add HarmonyOS module permissions
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T06:49:38Z | CommitDate：2026-09-08T06:49:38Z
版本范围：默认分支
内容：提交应用模块声明，配置网络、模糊定位和精确定位权限，以及入口与备份能力。
链接：https://github.com/OldGuestInBreeze/-1/commit/049c2a73dafc893fe41be5bb8759fe8cbe188149
所在分支：devin/1788850116-add-module-permissions；devin/1788852083.32064-harmony-login-main-ui；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：1 项
  A	module.json5
  A	entry/src/main/resources/base/media/event_name.png
  A	entry/src/main/resources/base/media/event_position.png
  A	entry/src/main/resources/base/media/foreground.png
  A	entry/src/main/resources/base/media/ic_back.png
  A	entry/src/main/resources/base/media/ic_bell_fill.png
  A	entry/src/main/resources/base/media/ic_bell_normal.png
  A	entry/src/main/resources/base/media/ic_bg_login.png
  A	entry/src/main/resources/base/media/ic_chat.png
  A	entry/src/main/resources/base/media/ic_chevron_right_grey600_24dp.png
  A	entry/src/main/resources/base/media/ic_comment.png
  A	entry/src/main/resources/base/media/ic_email.png
  A	entry/src/main/resources/base/media/ic_event_add.png
  A	entry/src/main/resources/base/media/ic_event_add_to_photos.png
  A	entry/src/main/resources/base/media/ic_event_off.png
  A	entry/src/main/resources/base/media/ic_event_on.png
  A	entry/src/main/resources/base/media/ic_eventinfo_commit.png
  A	entry/src/main/resources/base/media/ic_eventinfo_share.png
  A	entry/src/main/resources/base/media/ic_friend_no.png
  A	entry/src/main/resources/base/media/ic_friends_off.png
  A	entry/src/main/resources/base/media/ic_friends_on.png
  A	entry/src/main/resources/base/media/ic_group_grey600_18dp.png
  A	entry/src/main/resources/base/media/ic_home_excursion.png
  A	entry/src/main/resources/base/media/ic_home_motion.png
  A	entry/src/main/resources/base/media/ic_home_off.png
  A	entry/src/main/resources/base/media/ic_home_on.png
  A	entry/src/main/resources/base/media/ic_home_recommend.png
  A	entry/src/main/resources/base/media/ic_home_ride.png
  A	entry/src/main/resources/base/media/ic_img_add.png
  A	entry/src/main/resources/base/media/ic_input_captcha.png
  A	entry/src/main/resources/base/media/ic_input_cellphone.png
  A	entry/src/main/resources/base/media/ic_input_name.png
  A	entry/src/main/resources/base/media/ic_input_password.png
  A	entry/src/main/resources/base/media/ic_launcher.png
  A	entry/src/main/resources/base/media/ic_launcher_background.xml
  A	entry/src/main/resources/base/media/ic_left_arrow_white_48dp.png
  A	entry/src/main/resources/base/media/ic_like.png
  A	entry/src/main/resources/base/media/ic_liked.png
  A	entry/src/main/resources/base/media/ic_loadfaild.png
  A	entry/src/main/resources/base/media/ic_login_logo.png
  A	entry/src/main/resources/base/media/ic_mine_off.png
  A	entry/src/main/resources/base/media/ic_mine_on.png
  A	entry/src/main/resources/base/media/ic_nav_bar_add_normal.png
  A	entry/src/main/resources/base/media/ic_nav_bar_event_normal.png
  A	entry/src/main/resources/base/media/ic_nav_bar_event_select.png
  A	entry/src/main/resources/base/media/ic_nav_bar_team_normal.png
  A	entry/src/main/resources/base/media/ic_nav_bar_team_selected.png
  A	entry/src/main/resources/base/media/ic_phone.png
  A	entry/src/main/resources/base/media/ic_place_grey600_18dp.png
  A	entry/src/main/resources/base/media/ic_return.png
  A	entry/src/main/resources/base/media/ic_return_white.png
  A	entry/src/main/resources/base/media/ic_share.png
  A	entry/src/main/resources/base/media/ic_swiper_1.png
  A	entry/src/main/resources/base/media/ic_swiper_2.jpg
  A	entry/src/main/resources/base/media/ic_swiper_3.jpg
  A	entry/src/main/resources/base/media/ic_user.png
  A	entry/src/main/resources/base/media/ic_user_icon_default.png
  A	entry/src/main/resources/base/media/ic_user_menu_about.png
  A	entry/src/main/resources/base/media/ic_user_menu_event.png
  A	entry/src/main/resources/base/media/ic_user_menu_security.png
  A	entry/src/main/resources/base/media/ic_user_menu_setting.png
  A	entry/src/main/resources/base/media/icon.jpg
  A	entry/src/main/resources/base/media/join_off.png
  A	entry/src/main/resources/base/media/join_on.png
  A	entry/src/main/resources/base/media/layered_image.json
  A	entry/src/main/resources/base/media/position.png
  A	entry/src/main/resources/base/media/return.png
  A	entry/src/main/resources/base/media/search.png
  A	entry/src/main/resources/base/media/startIcon.png
  A	entry/src/main/resources/base/media/toLogin.png
  A	entry/src/main/resources/base/media/user_icon.png
  A	entry/src/main/resources/base/media/user_name.png
  A	entry/src/main/resources/base/media/user_position.png
  A	entry/src/main/resources/base/profile/backup_config.json
  A	entry/src/main/resources/base/profile/main_pages.json
  A	entry/src/main/resources/dark/element/color.json
  A	entry/src/main/resources/rawfile/loading.html
  A	entry/src/mock/mock-config.json5
  A	entry/src/ohosTest/ets/test/Ability.test.ets
  A	entry/src/ohosTest/ets/test/List.test.ets
  A	entry/src/ohosTest/module.json5
  A	entry/src/test/List.test.ets
  A	entry/src/test/LocalUnit.test.ets
  A	hvigor/hvigor-config.json5
  A	hvigorfile.ts
  A	oh-package-lock.json5
  A	oh-package.json5

[2026-09-08 15:27:59 +08:00] 合并登录与导航界面
提交：8a8579a1c97c43fe533c092b7437d032d411f59f
原始标题：Merge pull request #1 from OldGuestInBreeze/devin/1788852083.32064-harmony-login-main-ui
作者：OldGuestInBreeze | 提交者：GitHub
AuthorDate：2026-09-08T15:27:59+08:00 | CommitDate：2026-09-08T15:27:59+08:00
版本范围：默认分支
内容：合并 PR #1，将登录页和主导航界面变更纳入默认分支。
链接：https://github.com/OldGuestInBreeze/-1/commit/8a8579a1c97c43fe533c092b7437d032d411f59f
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：合并提交，参见其原始开发提交。

[2026-09-08 15:38:29 +08:00] 调整页面安全区域
提交：606e294eb16f0e8339f673d4cdfcdece8eb936e6
原始标题：Extend pages into system safe areas
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T07:38:29Z | CommitDate：2026-09-08T07:38:29Z
版本范围：默认分支
内容：调整主页面和登录页的安全区域布局。
链接：https://github.com/OldGuestInBreeze/-1/commit/606e294eb16f0e8339f673d4cdfcdece8eb936e6
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：2 项
  M	entry/src/main/ets/pages/Index.ets
  M	entry/src/main/ets/pages/LoginPage.ets

[2026-09-08 15:53:45 +08:00] 封装 HTTP 请求与沉浸式布局
提交：ae67109932cf4bbf1104b2d9993a877a8e99354f
原始标题：Add HTTP request wrapper and immersive layout
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T07:53:45Z | CommitDate：2026-09-08T07:53:45Z
版本范围：默认分支
内容：加入公共网络请求工具，并调整 EntryAbility 与页面布局逻辑。
链接：https://github.com/OldGuestInBreeze/-1/commit/ae67109932cf4bbf1104b2d9993a877a8e99354f
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：4 项
  M	entry/src/main/ets/entryability/EntryAbility.ets
  M	entry/src/main/ets/pages/Index.ets
  M	entry/src/main/ets/pages/LoginPage.ets
  A	entry/src/main/ets/utils/HttpRequest.ets

[2026-09-08 15:56:46 +08:00] 集中管理后端接口常量
提交：815aabe569952aaf97653f544b2aec4816dfa7a9
原始标题：Centralize backend API constants
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T07:56:46Z | CommitDate：2026-09-08T07:56:46Z
版本范围：默认分支
内容：加入接口常量文件，调整请求工具与提示工具的组织方式。
链接：https://github.com/OldGuestInBreeze/-1/commit/815aabe569952aaf97653f544b2aec4816dfa7a9
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：3 项
  A	entry/src/main/ets/common/Constant.ets
  M	entry/src/main/ets/utils/HttpRequest.ets
  A	entry/src/main/ets/utils/PromptUtil.ets

[2026-09-08 15:58:41 +08:00] 提取通用提示工具
提交：417a99d1ce067b097ec88619a9a6ec8132d8082e
原始标题：Add reusable alert dialog helper
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T07:58:41Z | CommitDate：2026-09-08T07:58:41Z
版本范围：默认分支
内容：加入 ShowUtil 提示工具，调整网络请求中的提示调用。
链接：https://github.com/OldGuestInBreeze/-1/commit/417a99d1ce067b097ec88619a9a6ec8132d8082e
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：3 项
  M	entry/src/main/ets/utils/HttpRequest.ets
  D	entry/src/main/ets/utils/PromptUtil.ets
  A	entry/src/main/ets/utils/ShowUtil.ets

[2026-09-08 16:01:39 +08:00] 封装登录接口
提交：994e4b48b5e9c1becaa29188f7a9b896da5b52c2
原始标题：Add login API request wrapper
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T08:01:39Z | CommitDate：2026-09-08T08:01:39Z
版本范围：默认分支
内容：新增 LoginApi，将登录请求从页面逻辑中独立出来。
链接：https://github.com/OldGuestInBreeze/-1/commit/994e4b48b5e9c1becaa29188f7a9b896da5b52c2
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：1 项
  A	entry/src/main/ets/api/LoginApi.ets

[2026-09-08 16:42:56 +08:00] 连接登录页与认证接口
提交：265c8040e2538bbff0aa65b8f23c0050e0007a99
原始标题：Connect login page to backend authentication
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T08:42:56Z | CommitDate：2026-09-08T08:42:56Z
版本范围：默认分支
内容：在登录页接入后端认证调用，并加入 User 数据模型。
链接：https://github.com/OldGuestInBreeze/-1/commit/265c8040e2538bbff0aa65b8f23c0050e0007a99
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：2 项
  M	entry/src/main/ets/pages/LoginPage.ets
  A	entry/src/main/ets/viewmodel/User.ets

[2026-09-08 16:49:49 +08:00] 构建 ArkUI 主导航
提交：bf3824e51727d8c37d3318f8471ac99cbcb9ee23
原始标题：Build main navigation with ArkUI tabs
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T08:49:49Z | CommitDate：2026-09-08T08:49:49Z
版本范围：默认分支
内容：使用 ArkUI Tabs 组织主页面导航与标签切换。
链接：https://github.com/OldGuestInBreeze/-1/commit/bf3824e51727d8c37d3318f8471ac99cbcb9ee23
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：1 项
  M	entry/src/main/ets/pages/Index.ets

[2026-09-08 17:24:42 +08:00] 加入注册流程
提交：c33fa9a95dee148789d579c7e93888b0b3f03cf8
原始标题：Add registration flow
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T09:24:42Z | CommitDate：2026-09-08T09:24:42Z
版本范围：默认分支
内容：新增注册页、注册接口和页面路由，并调整登录页入口。
链接：https://github.com/OldGuestInBreeze/-1/commit/c33fa9a95dee148789d579c7e93888b0b3f03cf8
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：4 项
  M	entry/src/main/ets/api/LoginApi.ets
  M	entry/src/main/ets/pages/LoginPage.ets
  A	entry/src/main/ets/pages/RegisterPage.ets
  M	entry/src/main/resources/base/profile/main_pages.json

========================================================================
2026-09-09 | 首页、个人中心与活动发布 | 4 条
围绕活动发现和用户操作完善客户端，提交活动首页、个人中心、资料编辑、密码设置与活动发布流程。

[2026-09-09 14:50:32 +08:00] 搭建活动首页
提交：ed8949a337ac6f182d57555ab2f1ea6ab554f845
原始标题：Build activity home feed
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-09T06:50:32Z | CommitDate：2026-09-09T06:50:32Z
版本范围：默认分支
内容：加入活动接口、活动卡片、首页视图、活动模型及登录状态工具。
链接：https://github.com/OldGuestInBreeze/-1/commit/ed8949a337ac6f182d57555ab2f1ea6ab554f845
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：6 项
  A	entry/src/main/ets/api/EventApi.ets
  A	entry/src/main/ets/component/EventComponent.ets
  M	entry/src/main/ets/pages/Index.ets
  A	entry/src/main/ets/utils/UserUtil.ets
  A	entry/src/main/ets/view/HomeViewComponent.ets
  A	entry/src/main/ets/viewmodel/Event.ets

[2026-09-09 15:50:09 +08:00] 加入个人中心
提交：c2dd033222702ebb976b146069909c00b1cf1710
原始标题：Build personal center view
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-09T07:50:09Z | CommitDate：2026-09-09T07:50:09Z
版本范围：默认分支
内容：新增个人中心视图，并接入应用入口与主页面。
链接：https://github.com/OldGuestInBreeze/-1/commit/c2dd033222702ebb976b146069909c00b1cf1710
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：3 项
  M	entry/src/main/ets/entryability/EntryAbility.ets
  M	entry/src/main/ets/pages/Index.ets
  A	entry/src/main/ets/view/UserInfoViewComponent.ets

[2026-09-09 16:21:54 +08:00] 加入资料编辑与密码设置
提交：2dce3aa88a4626d91031bb19eb7a5e0a46c9f7a5
原始标题：Add profile and password settings
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-09T08:21:54Z | CommitDate：2026-09-09T08:21:54Z
版本范围：默认分支
内容：新增用户资料编辑页、密码重置页、用户接口及图片上传工具。
链接：https://github.com/OldGuestInBreeze/-1/commit/2dce3aa88a4626d91031bb19eb7a5e0a46c9f7a5
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：5 项
  A	entry/src/main/ets/api/UserApi.ets
  A	entry/src/main/ets/pages/ResetPasswordPage.ets
  A	entry/src/main/ets/pages/UserEditPage.ets
  A	entry/src/main/ets/utils/UploadUtil.ets
  M	entry/src/main/resources/base/profile/main_pages.json

[2026-09-09 23:08:05 +08:00] 加入活动发布流程
提交：c2bced0b56fd53655b88a4edccce0bfe5cfdd320
原始标题：Add activity publishing flow
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-09T15:08:05Z | CommitDate：2026-09-09T15:08:05Z
版本范围：默认分支
内容：新增活动编辑页、定位工具与路由参数模型，并扩展活动接口和页面配置。
链接：https://github.com/OldGuestInBreeze/-1/commit/c2bced0b56fd53655b88a4edccce0bfe5cfdd320
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：5 项
  M	entry/src/main/ets/api/EventApi.ets
  A	entry/src/main/ets/pages/EventEditPage.ets
  A	entry/src/main/ets/utils/LocationUtil.ets
  A	entry/src/main/ets/viewmodel/RouterParam.ets
  M	entry/src/main/resources/base/profile/main_pages.json

========================================================================
2026-09-10 | 核心活动流程完善与异常修复 | 13 条
提交启动工具包、活动管理、搜索、详情、评论、参与和成员列表，合并 PR #2；随后在扩展开发分支补充数据异常保护与头像保存修正。

[2026-09-10 00:01:25 +08:00] 上传后端启动工具包
提交：736bf3a06c509105b435c41c798e9058decfa95f
原始标题：Add one-click backend launcher
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-09T16:01:25Z | CommitDate：2026-09-09T16:01:25Z
版本范围：默认分支
内容：新增后端一键启动 ZIP 包；这是启动脚本交付记录，不等同于提交后端源码。
链接：https://github.com/OldGuestInBreeze/-1/commit/736bf3a06c509105b435c41c798e9058decfa95f
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：1 项
  A	tools/interest-team-backend-launcher.zip

[2026-09-10 10:44:33 +08:00] 调整首页活动卡片
提交：9e5b61a6d3f89ff4deda0f73ad5b446ecc92fce7
原始标题：Polish home activity card layout
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T02:44:33Z | CommitDate：2026-09-10T02:44:33Z
版本范围：默认分支
内容：优化活动卡片与首页活动列表的布局。
链接：https://github.com/OldGuestInBreeze/-1/commit/9e5b61a6d3f89ff4deda0f73ad5b446ecc92fce7
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：2 项
  M	entry/src/main/ets/component/EventComponent.ets
  M	entry/src/main/ets/view/HomeViewComponent.ets

[2026-09-10 12:22:15 +08:00] 调整模拟器后端地址配置
提交：ad5474554bc7cacec97863a3d66522de7e2be021
原始标题：Update backend address for local emulator
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T04:22:15Z | CommitDate：2026-09-10T04:22:15Z
版本范围：默认分支
内容：更新接口常量中的后端连接地址，供本地模拟器连接使用。
链接：https://github.com/OldGuestInBreeze/-1/commit/ad5474554bc7cacec97863a3d66522de7e2be021
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：1 项
  M	entry/src/main/ets/common/Constant.ets

[2026-09-10 12:32:08 +08:00] 加入活动管理流程
提交：f5a3aefee300710ce9d28c59090e7613363b3d23
原始标题：Add activity management flow
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T04:32:08Z | CommitDate：2026-09-10T04:32:08Z
版本范围：默认分支
内容：新增“我的活动”页面，扩展活动编辑和管理接口，并配置页面路由。
链接：https://github.com/OldGuestInBreeze/-1/commit/f5a3aefee300710ce9d28c59090e7613363b3d23
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：4 项
  M	entry/src/main/ets/api/EventApi.ets
  M	entry/src/main/ets/pages/EventEditPage.ets
  A	entry/src/main/ets/pages/MyEventPage.ets
  M	entry/src/main/resources/base/profile/main_pages.json

[2026-09-10 12:53:10 +08:00] 加入活动搜索结果页
提交：e5798b11e990488cc1f379a32f1e7870ccb0ef5f
原始标题：Add activity search results page
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T04:53:10Z | CommitDate：2026-09-10T04:53:10Z
版本范围：默认分支
内容：新增活动列表页，并连接首页搜索入口与路由。
链接：https://github.com/OldGuestInBreeze/-1/commit/e5798b11e990488cc1f379a32f1e7870ccb0ef5f
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：3 项
  A	entry/src/main/ets/pages/EventListPage.ets
  M	entry/src/main/ets/view/HomeViewComponent.ets
  M	entry/src/main/resources/base/profile/main_pages.json

[2026-09-10 13:00:44 +08:00] 加入活动详情页
提交：aed3a4972755c6928cadc28a574a82fa63aef40f
原始标题：Add activity detail page
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T05:00:44Z | CommitDate：2026-09-10T05:00:44Z
版本范围：默认分支
内容：新增活动详情页面、详情查询接口及页面路由。
链接：https://github.com/OldGuestInBreeze/-1/commit/aed3a4972755c6928cadc28a574a82fa63aef40f
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：3 项
  M	entry/src/main/ets/api/EventApi.ets
  A	entry/src/main/ets/pages/EventInfoPage.ets
  M	entry/src/main/resources/base/profile/main_pages.json

[2026-09-10 13:28:12 +08:00] 加入活动评论流程
提交：af40cd9d79fd5101683b50727a46df2540b9f6fe
原始标题：Add activity comments flow
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T05:28:12Z | CommitDate：2026-09-10T05:28:12Z
版本范围：默认分支
内容：扩展详情页的评论交互，并新增评论接口与 EventComment 模型。
链接：https://github.com/OldGuestInBreeze/-1/commit/af40cd9d79fd5101683b50727a46df2540b9f6fe
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：3 项
  M	entry/src/main/ets/api/EventApi.ets
  M	entry/src/main/ets/pages/EventInfoPage.ets
  A	entry/src/main/ets/viewmodel/EventComment.ets

[2026-09-10 13:47:04 +08:00] 加入活动参与流程
提交：f87a18969dfb50a314b445331dff9525d6e2d9eb
原始标题：Add activity join flow
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T05:47:04Z | CommitDate：2026-09-10T05:47:04Z
版本范围：默认分支
内容：扩展加入状态查询与加入操作接口，并接入活动详情页。
链接：https://github.com/OldGuestInBreeze/-1/commit/f87a18969dfb50a314b445331dff9525d6e2d9eb
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：2 项
  M	entry/src/main/ets/api/EventApi.ets
  M	entry/src/main/ets/pages/EventInfoPage.ets

[2026-09-10 13:54:51 +08:00] 建设活动与小队标签页
提交：722635a71d9afdf0e6ca5a25dd622c7343110d21
原始标题：Build my activities tab
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T05:54:51Z | CommitDate：2026-09-10T05:54:51Z
版本范围：默认分支
内容：加入活动视图、未登录提示和 Team 模型，调整主导航中的活动入口。
链接：https://github.com/OldGuestInBreeze/-1/commit/722635a71d9afdf0e6ca5a25dd622c7343110d21
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：5 项
  M	entry/src/main/ets/api/EventApi.ets
  A	entry/src/main/ets/component/NoLoginComponent.ets
  M	entry/src/main/ets/pages/Index.ets
  A	entry/src/main/ets/view/EventViewComponent.ets
  A	entry/src/main/ets/viewmodel/Team.ets

[2026-09-10 14:08:26 +08:00] 加入活动成员列表
提交：95aefe7dfeec1b995cfce863aafedd4e50f48ce3
原始标题：Add activity member list
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-10T06:08:26Z | CommitDate：2026-09-10T06:08:26Z
版本范围：默认分支
内容：新增成员列表页、成员模型和查询接口，并接入活动视图与路由。
链接：https://github.com/OldGuestInBreeze/-1/commit/95aefe7dfeec1b995cfce863aafedd4e50f48ce3
所在分支：devin/1788850116-add-module-permissions；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：5 项
  M	entry/src/main/ets/api/EventApi.ets
  A	entry/src/main/ets/pages/TeamListPage.ets
  M	entry/src/main/ets/view/EventViewComponent.ets
  A	entry/src/main/ets/viewmodel/EventMember.ets
  M	entry/src/main/resources/base/profile/main_pages.json

[2026-09-10 14:33:32 +08:00] 合并核心业务流程
提交：fb2da2190fec521c6c5a0f1534df123d0ff6ebc9
原始标题：Merge pull request #2 from OldGuestInBreeze/devin/1788853038-safe-area-layout
作者：OldGuestInBreeze | 提交者：GitHub
AuthorDate：2026-09-10T14:33:32+08:00 | CommitDate：2026-09-10T14:33:32+08:00
版本范围：默认分支
内容：合并 PR #2，将活动发布、搜索、详情、评论、参与及成员列表等变更纳入默认分支。
链接：https://github.com/OldGuestInBreeze/-1/commit/fb2da2190fec521c6c5a0f1534df123d0ff6ebc9
